i converge       t_e       t_r        ip        xi      i01      i02      i03      i04      i05      i06      i07      i08      i09      i10      i11      i12      i13      i14      i15
1        3 1.040e+04 7.090e+07 6.560e+01 4.820e+03    1e-20    1e-20    1e-20    1e-20    1e-20 4.32e-15 1.64e-11 1.25e-08 4.63e-07 1.84e-05 0.000305   0.0144    0.232    0.459    0.294
1        3 1.040e+04 7.090e+07 8.870e+01 6.520e+03    1e-20    1e-20    1e-20    1e-20    1e-20 3.37e-16 1.91e-12 1.98e-09 9.88e-08 5.31e-06 0.000119  0.00757    0.165    0.443    0.384
1        3 1.040e+04 7.090e+07 1.200e+02 8.830e+03 2.95e-20 9.02e-19 1.08e-18 9.11e-18 5.37e-18 3.96e-17 2.12e-13 2.97e-10 2.01e-08 1.46e-06 4.43e-05  0.00381    0.112    0.407    0.477
1        3 1.040e+04 7.090e+07 1.620e+02 1.190e+04 2.36e-20 7.24e-19  8.7e-19 7.31e-18 4.31e-18 9.73e-18 2.25e-14 4.26e-11  3.9e-09 3.83e-07 1.57e-05  0.00183    0.073    0.358    0.567
1        3 1.040e+04 7.090e+07 2.200e+02 1.620e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.27e-15 5.89e-12 7.29e-10 9.69e-08 5.38e-06 0.000846   0.0457    0.303     0.65
1        3 1.040e+04 7.090e+07 2.970e+02 2.190e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.13e-16  7.9e-13 1.32e-10 2.38e-08 1.79e-06  0.00038   0.0277    0.249    0.723
1        3 1.040e+04 7.090e+07 4.020e+02 2.960e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.03e-13 2.34e-11 5.69e-09 5.78e-07 0.000166   0.0164      0.2    0.784
1        3 1.040e+04 7.090e+07 5.440e+02 4.000e+04 2.87e-20  8.8e-19 1.06e-18 8.88e-18 5.23e-18 8.92e-18  1.9e-17 1.32e-14 4.05e-12 1.33e-09 1.83e-07 7.14e-05  0.00954    0.157    0.834
1        3 1.040e+04 7.090e+07 7.370e+02 5.420e+04    1e-20 4.03e-20 4.84e-20 4.06e-19 2.39e-19 4.08e-19 9.69e-19 1.67e-15 6.92e-13 3.08e-10 5.74e-08 3.02e-05  0.00546    0.121    0.873
1        3 1.040e+04 7.090e+07 9.970e+02 7.330e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.99e-16 1.17e-13 7.05e-11 1.77e-08 1.26e-05  0.00309   0.0929    0.904
1        3 1.040e+04 7.090e+07 1.350e+03 9.920e+04    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.38e-17 1.96e-14  1.6e-11 5.43e-09 5.24e-06  0.00173   0.0705    0.928
1        3 1.040e+04 7.090e+07 1.820e+03 1.340e+05    1e-20  1.4e-19 1.68e-19 1.41e-18 8.33e-19 1.42e-18  2.7e-18 8.66e-18 3.26e-15 3.59e-12 1.65e-09 2.15e-06 0.000964   0.0531    0.946
1        3 1.040e+04 7.090e+07 2.470e+03 1.820e+05    1e-20 8.15e-20  9.8e-20 8.23e-19 4.85e-19 8.26e-19 1.57e-18 3.59e-18 5.43e-16 8.03e-13    5e-10 8.83e-07 0.000534   0.0398     0.96
1        3 1.040e+04 7.090e+07 3.340e+03 2.460e+05    1e-20  4.5e-20  5.4e-20 4.54e-19 2.67e-19 4.56e-19 8.66e-19 1.81e-18 9.18e-17 1.79e-13 1.51e-10  3.6e-07 0.000295   0.0297     0.97
1        3 1.040e+04 7.090e+07 4.520e+03 3.320e+05    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.25e-17 3.98e-14 4.54e-11 1.47e-07 0.000162   0.0222    0.978
1        3 1.040e+04 7.090e+07 6.120e+03 4.500e+05    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 2.13e-18 8.81e-15 1.36e-11 5.95e-08 8.92e-05   0.0165    0.983
1        3 1.040e+04 7.090e+07 8.280e+03 6.090e+05    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 1.95e-15 4.08e-12 2.41e-08 4.89e-05   0.0122    0.988
1        3 1.040e+04 7.090e+07 1.120e+04 8.230e+05    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 4.32e-16 1.22e-12 9.78e-09 2.68e-05  0.00907    0.991
1        3 1.040e+04 7.090e+07 1.510e+04 1.110e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 9.48e-17 3.66e-13 3.96e-09 1.47e-05  0.00672    0.993
1        3 1.040e+04 7.090e+07 2.050e+04 1.510e+06    1e-20 1.27e-20 1.52e-20 1.28e-19 7.54e-20 1.29e-19 2.44e-19 4.97e-19 9.28e-19 2.28e-17 1.09e-13  1.6e-09 8.04e-06  0.00497    0.995
1        3 1.040e+04 7.090e+07 2.770e+04 2.040e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 4.27e-18 3.26e-14 6.47e-10  4.4e-06  0.00368    0.996
1        3 1.040e+04 7.090e+07 3.750e+04 2.760e+06    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20    1e-20 9.32e-19 9.75e-15 2.61e-10  2.4e-06  0.00272    0.997
1        3 1.040e+04 7.090e+07 5.070e+04 3.730e+06    1e-20    1e-20    1e-20 5.36e-20 3.16e-20 5.38e-20 1.02e-19 2.08e-19 3.88e-19 9.41e-19 2.91e-15 1.06e-10 1.31e-06  0.00201    0.998
1        3 1.040e+04 7.090e+07 6.870e+04 5.050e+06    1e-20    1e-20    1e-20 7.77e-20 4.58e-20  7.8e-20 1.48e-19 3.02e-19 5.62e-19 1.08e-18  8.7e-16 4.26e-11 7.18e-07  0.00149    0.999
