                 r                   i01                i02                    i03                    i04 i05 i06 i07 i08
9182721600000000.0 0.0013926128649945524 496.17698154856606  9.038826225493063e-07                    0.0 0.0 0.0 0.0 0.0
9282686400000000.0 0.0013361786981772325 459.96071700767266  7.063786025478021e-07                    0.0 0.0 0.0 0.0 0.0
9382651200000000.0  0.001284654164861202  426.7341959333236  5.514346396125612e-07                    0.0 0.0 0.0 0.0 0.0
9482616000000000.0 0.0012376500246858789  396.2226063347744 4.2997533388392605e-07                    0.0 0.0 0.0 0.0 0.0
9582580800000000.0 0.0011948073540895357 368.17891798303725  3.348560580862451e-07                    0.0 0.0 0.0 0.0 0.0
9682545600000000.0  0.001155800386755025  342.3808240609041  2.604446201959827e-07                    0.0 0.0 0.0 0.0 0.0
9782510400000000.0 0.0011203356728070376  318.6280464434427 2.0229999391912372e-07                    0.0 0.0 0.0 0.0 0.0
9882475200000000.0 0.0010881499988953849  296.7399582314801 1.5692141705388245e-07                    0.0 0.0 0.0 0.0 0.0
9982440000000000.0 0.0010590079621640958  276.5534834693447  1.215509627694174e-07                    0.0 0.0 0.0 0.0 0.0
    1.00824048e+16  0.001032699550795107 257.92123937568783  9.401763061103417e-08                    0.0 0.0 0.0 0.0 0.0
    1.01823696e+16 0.0010090378726678676 240.70989104200487  7.261401824449039e-08                    0.0 0.0 0.0 0.0 0.0
    1.02823344e+16 0.0009878570844937208 224.79869252421696 5.5998699212810904e-08                    0.0 0.0 0.0 0.0 0.0
    1.03822992e+16 0.0009690105344297089 210.07819166642633  4.311894107479467e-08                    0.0 0.0 0.0 0.0 0.0
     1.0482264e+16 0.0009524984289400654  196.4490788059896  3.313876010512585e-08                    0.0 0.0 0.0 0.0 0.0
    1.05822288e+16  0.000938106262857507  183.8211627916521 2.5425854726677733e-08                    0.0 0.0 0.0 0.0 0.0
    1.06821936e+16 0.0009255373831136536 172.11245833329704 1.9484762300852943e-08                    0.0 0.0 0.0 0.0 0.0
    1.07821584e+16  0.000914879210271205 161.24837173835186 1.4907128805970342e-08                    0.0 0.0 0.0 0.0 0.0
    1.08821232e+16 0.0009060599171139641 151.16097491182214 1.1385686041345059e-08                    0.0 0.0 0.0 0.0 0.0
